delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_rating,delivery_cost,Delivery_Status
delhivery,clothing,scooter,two day,south,cold,158.2,42.98,4,919.94,delivered
dhl,fragile items,truck,same day,south,cold,196.5,36.34,5,1191.52,delivered
shadowfax,fragile items,scooter,same day,south,stormy,227.9,46.14,3,1377.92,delayed
blue dart,documents,truck,standard,south,hot,78.9,12.43,5,431.79,delivered
amazon logistics,cosmetics,ev van,standard,south,cold,95.9,18.18,5,534.04,delivered
delhivery,documents,ev bike,express,east,cold,73.0,19.46,4,473.38,delivered
delhivery,clothing,van,same day,central,clear,226.7,35.3,3,1339.4,delayed
fedex,pharmacy,ev van,express,east,foggy,139.8,27.45,3,831.35,delayed
fedex,fragile items,truck,two day,west,rainy,179.0,9.41,5,923.23,delivered
ekart,automobile parts,van,express,west,rainy,160.1,18.88,2,907.14,delayed
ekart,furniture,ev van,two day,west,stormy,254.5,41.97,5,1398.41,delivered
delhivery,clothing,van,express,south,clear,175.1,30.69,5,1017.57,delivered
shadowfax,furniture,scooter,express,south,rainy,294.0,33.41,1,1620.23,failed
dhl,cosmetics,bike,express,south,rainy,179.5,6.44,2,966.82,delayed
blue dart,automobile parts,truck,two day,south,cold,151.2,24.38,4,829.14,delivered
dhl,clothing,truck,express,central,cold,19.6,44.41,4,281.23,delivered
ecom express,pharmacy,ev bike,express,east,hot,127.6,44.86,2,822.58,delayed
ekart,furniture,bike,standard,central,foggy,101.3,46.81,4,646.93,delivered
ecom express,pharmacy,scooter,express,central,stormy,175.1,43.86,2,1057.08,failed
ekart,electronics,bike,standard,west,stormy,105.4,14.72,3,571.16,delivered
blue dart,electronics,scooter,two day,west,clear,93.5,20.19,4,528.07,delivered
ekart,pharmacy,ev van,two day,north,rainy,297.1,34.81,3,1602.93,delivered
ekart,clothing,ev van,express,north,hot,96.7,11.23,4,567.19,delivered
blue dart,pharmacy,van,two day,west,cold,255.5,38.33,5,1392.49,delivered
shadowfax,electronics,bike,express,central,cold,243.1,33.15,3,1364.95,delivered
dhl,fragile items,ev van,two day,central,rainy,98.0,28.56,5,575.68,delivered
xpressbees,documents,bike,standard,south,hot,114.7,48.7,5,719.6,delivered
fedex,furniture,bike,two day,west,hot,222.6,35.53,5,1219.59,delivered
dhl,groceries,van,standard,west,stormy,116.4,3.66,4,592.98,delivered
fedex,groceries,ev van,express,north,clear,13.4,1.84,5,122.52,delivered
blue dart,furniture,ev bike,express,central,hot,151.5,42.08,5,933.74,delivered
xpressbees,pharmacy,van,standard,south,clear,159.8,16.4,5,848.2,delivered
delhivery,cosmetics,van,two day,west,stormy,100.5,11.6,4,537.3,delivered
xpressbees,automobile parts,bike,express,south,foggy,17.0,27.89,3,218.67,delayed
ecom express,clothing,scooter,express,central,clear,131.9,33.47,2,809.91,delayed
xpressbees,fragile items,ev bike,standard,east,foggy,288.7,27.99,3,1527.47,delivered
fedex,pharmacy,van,same day,central,cold,279.0,35.99,5,1602.97,delivered
ekart,documents,ev van,standard,central,hot,250.5,24.0,5,1324.5,delivered
amazon logistics,automobile parts,van,express,north,rainy,111.6,44.1,2,740.3,delayed
ekart,cosmetics,ev van,two day,east,hot,55.8,34.08,4,381.24,delivered
fedex,clothing,ev bike,two day,west,rainy,292.6,25.09,4,1538.27,delivered
xpressbees,clothing,truck,standard,central,foggy,257.9,39.62,3,1408.36,delivered
ecom express,pharmacy,ev van,same day,west,cold,59.4,0.91,5,399.73,delivered
ecom express,cosmetics,ev van,same day,west,stormy,128.3,48.47,4,886.91,delivered
delhivery,electronics,scooter,two day,south,hot,181.0,15.64,4,951.92,delivered
ecom express,pharmacy,scooter,standard,north,cold,183.0,5.16,4,930.48,delivered
blue dart,furniture,ev bike,express,central,stormy,193.9,17.1,2,1070.8,delayed
shadowfax,automobile parts,bike,standard,north,foggy,285.2,36.21,4,1534.63,delivered
ecom express,cosmetics,ev bike,same day,central,rainy,47.2,6.77,4,356.31,delivered
shadowfax,automobile parts,van,same day,north,stormy,268.5,16.7,2,1492.6,failed
ecom express,electronics,ev bike,standard,south,hot,83.7,13.81,4,459.93,delivered
dhl,cosmetics,bike,standard,central,cold,165.9,0.88,5,832.14,delivered
ekart,groceries,truck,standard,south,stormy,166.6,7.73,4,856.19,delivered
ekart,furniture,truck,standard,south,rainy,209.6,24.98,5,1122.94,delivered
dhl,fragile items,bike,same day,south,stormy,105.9,4.83,2,643.99,delayed
xpressbees,fragile items,truck,standard,west,cold,35.4,44.64,5,310.92,delivered
fedex,documents,truck,two day,south,rainy,253.7,5.86,5,1286.08,delivered
xpressbees,documents,van,same day,west,stormy,54.9,5.81,5,391.93,delivered
dhl,cosmetics,truck,standard,east,foggy,72.7,16.08,5,411.74,delivered
ekart,fragile items,scooter,two day,central,hot,24.7,30.86,5,216.08,delivered
blue dart,pharmacy,truck,same day,west,foggy,153.3,36.59,5,976.27,delivered
fedex,electronics,scooter,two day,east,foggy,182.1,9.68,5,939.54,delivered
ecom express,clothing,scooter,same day,north,rainy,156.9,9.63,5,913.39,delivered
amazon logistics,cosmetics,bike,same day,east,cold,26.3,12.47,3,268.91,delivered
ekart,cosmetics,bike,express,east,foggy,251.4,44.56,2,1440.68,delayed
fedex,automobile parts,bike,same day,central,cold,19.6,23.9,5,269.7,delivered
xpressbees,furniture,scooter,two day,south,cold,294.5,40.03,5,1592.59,delivered
shadowfax,groceries,ev bike,two day,south,stormy,112.7,43.11,5,692.83,delivered
delhivery,clothing,scooter,same day,central,rainy,171.5,32.92,2,1056.26,failed
shadowfax,fragile items,van,two day,central,stormy,207.0,22.96,5,1103.88,delivered
delhivery,automobile parts,scooter,two day,central,rainy,158.5,46.63,3,932.39,delivered
blue dart,electronics,van,same day,north,foggy,252.7,7.66,2,1386.48,delayed
shadowfax,furniture,scooter,two day,north,cold,234.8,9.49,4,1202.47,delivered
delhivery,groceries,scooter,standard,south,hot,174.5,24.82,5,946.96,delivered
dhl,cosmetics,bike,two day,south,hot,5.6,12.69,4,95.6674,delivered
shadowfax,cosmetics,truck,two day,south,stormy,192.0,40.34,5,1081.02,delivered
shadowfax,clothing,scooter,express,central,stormy,237.0,15.78,3,1282.34,delayed
fedex,automobile parts,truck,two day,east,stormy,244.5,44.13,5,1354.89,delivered
delhivery,clothing,ev van,two day,south,hot,163.7,38.24,5,933.22,delivered
amazon logistics,fragile items,van,standard,west,rainy,103.3,36.35,4,625.55,delivered
ecom express,cosmetics,truck,two day,central,clear,108.3,28.05,4,625.65,delivered
amazon logistics,clothing,ev bike,same day,east,rainy,110.6,47.11,5,794.33,delivered
xpressbees,cosmetics,van,standard,north,hot,208.4,44.37,4,1175.11,delivered
dhl,documents,bike,standard,east,cold,210.4,12.12,3,1088.36,delivered
amazon logistics,documents,ev bike,same day,south,cold,178.6,0.79,4,995.37,delivered
fedex,electronics,truck,same day,north,cold,230.1,43.34,2,1380.52,delayed
blue dart,cosmetics,van,two day,west,foggy,144.5,1.48,5,726.94,delivered
amazon logistics,fragile items,van,same day,west,rainy,160.8,32.01,5,1000.03,delivered
ekart,furniture,bike,express,south,cold,260.3,41.36,2,1475.58,failed
ecom express,cosmetics,truck,express,south,foggy,150.6,0.84,3,805.52,delayed
dhl,groceries,truck,same day,west,stormy,90.6,12.01,5,589.03,delivered
amazon logistics,pharmacy,truck,express,north,cold,126.1,40.33,1,801.49,failed
fedex,fragile items,scooter,same day,central,clear,77.0,36.09,4,593.27,delivered
fedex,groceries,bike,standard,east,hot,68.1,14.15,4,382.95,delivered
ekart,pharmacy,truck,two day,east,clear,182.9,15.66,3,961.48,delivered
amazon logistics,clothing,truck,standard,east,stormy,5.9,47.25,3,171.25,delivered
delhivery,furniture,scooter,standard,east,clear,93.9,7.28,5,491.34,delivered
fedex,fragile items,bike,two day,north,hot,192.7,24.14,5,1035.92,delivered
dhl,cosmetics,van,express,west,cold,64.7,20.31,2,434.43,failed
fedex,documents,bike,same day,central,stormy,297.1,25.37,2,1632.7206,delayed
ekart,furniture,scooter,express,west,cold,188.7,21.25,2,1057.25,delayed
shadowfax,pharmacy,truck,two day,west,hot,189.1,10.42,3,976.76,delivered
dhl,automobile parts,scooter,standard,north,clear,160.5,39.91,4,922.23,delivered
blue dart,fragile items,van,express,west,foggy,230.1,29.63,2,1289.39,delayed
blue dart,fragile items,ev bike,standard,east,foggy,208.9,27.7,5,1127.6,delivered
xpressbees,cosmetics,scooter,same day,south,cold,251.4,47.1,5,1498.3,delivered
ekart,groceries,scooter,same day,east,cold,77.6,33.42,4,588.26,delivered
ekart,groceries,scooter,express,south,hot,128.7,23.0,3,762.5,delivered
shadowfax,furniture,van,two day,south,stormy,161.1,41.29,4,929.37,delivered
ekart,groceries,truck,two day,central,clear,107.2,45.6,3,672.8,delivered
dhl,automobile parts,bike,two day,west,hot,79.4,9.54,4,425.62,delivered
ekart,fragile items,van,two day,east,foggy,6.2,19.85,5,95.6674,delivered
dhl,automobile parts,ev bike,two day,central,rainy,112.2,36.88,5,671.64,delivered
xpressbees,pharmacy,ev van,express,north,cold,137.5,34.51,2,841.03,delayed
fedex,clothing,truck,two day,central,clear,240.8,8.84,3,1230.52,delivered
ecom express,clothing,truck,same day,east,stormy,206.0,23.33,3,1199.99,delayed
xpressbees,documents,ev bike,standard,west,rainy,102.6,22.26,4,579.78,delivered
delhivery,pharmacy,ev bike,standard,central,hot,221.3,14.56,4,1150.18,delivered
dhl,groceries,truck,express,west,hot,47.3,13.34,4,326.52,delivered
ekart,pharmacy,truck,same day,central,rainy,90.3,33.26,4,651.28,delivered
shadowfax,fragile items,ev van,standard,south,cold,99.9,41.47,4,623.91,delivered
ekart,groceries,ev bike,same day,north,clear,9.2,44.12,5,278.36,delivered
ecom express,automobile parts,scooter,same day,north,hot,261.6,1.49,4,1412.47,delivered
ekart,furniture,van,same day,west,stormy,128.9,15.28,3,790.34,delayed
fedex,fragile items,ev bike,two day,east,foggy,92.3,36.82,5,571.96,delivered
blue dart,electronics,truck,express,west,foggy,223.2,28.59,3,1251.77,delayed
ecom express,documents,van,standard,east,foggy,160.3,44.16,5,933.98,delivered
ecom express,automobile parts,truck,two day,south,hot,265.5,46.67,5,1467.51,delivered
amazon logistics,fragile items,van,same day,central,cold,204.5,6.62,5,1142.36,delivered
dhl,pharmacy,ev bike,same day,north,cold,268.5,5.21,5,1458.13,delivered
delhivery,electronics,ev bike,same day,west,stormy,216.7,29.77,3,1272.81,delivered
xpressbees,electronics,ev van,express,north,cold,234.4,23.03,1,1291.09,failed
dhl,groceries,ev van,standard,south,foggy,129.6,14.08,5,690.24,delivered
ecom express,automobile parts,ev bike,same day,north,foggy,32.3,12.97,5,300.41,delivered
xpressbees,groceries,ev bike,two day,north,rainy,145.3,31.49,3,820.97,delivered
fedex,fragile items,ev bike,standard,north,hot,163.0,12.62,3,852.86,delivered
ecom express,furniture,scooter,express,south,hot,76.0,4.86,5,444.58,delivered
amazon logistics,clothing,ev van,two day,central,stormy,69.7,44.93,4,483.29,delivered
fedex,pharmacy,truck,express,south,clear,111.5,34.0,4,709.5,delivered
delhivery,groceries,ev van,standard,west,foggy,126.5,43.09,5,761.77,delivered
delhivery,documents,scooter,two day,west,foggy,186.7,8.8,5,959.9,delivered
dhl,cosmetics,scooter,standard,central,stormy,88.3,6.44,4,460.82,delivered
shadowfax,clothing,truck,standard,central,hot,21.7,36.84,4,219.02,delivered
delhivery,automobile parts,truck,express,north,rainy,100.6,22.33,3,619.99,delayed
blue dart,fragile items,van,express,south,hot,67.6,46.07,5,526.21,delivered
xpressbees,fragile items,scooter,express,west,stormy,185.9,41.67,3,1104.51,delayed
xpressbees,electronics,scooter,two day,west,clear,113.7,15.73,4,615.69,delivered
delhivery,automobile parts,ev bike,same day,central,rainy,175.5,43.2,3,1107.1,delayed
fedex,furniture,bike,express,west,foggy,108.8,4.97,2,608.91,delayed
delhivery,cosmetics,bike,same day,east,stormy,172.6,0.98,3,965.94,delayed
xpressbees,clothing,ev van,same day,south,foggy,3.6,17.54,5,163.12,delivered
amazon logistics,cosmetics,ev van,same day,east,hot,178.7,48.07,5,1137.71,delivered
amazon logistics,documents,bike,express,north,rainy,16.0,32.15,2,226.45,delayed
shadowfax,cosmetics,bike,same day,west,foggy,229.9,30.85,2,1342.05,delayed
shadowfax,documents,scooter,express,north,rainy,273.0,24.4,3,1488.2,delayed
ecom express,automobile parts,truck,express,west,rainy,159.8,1.95,2,854.85,delayed
shadowfax,cosmetics,scooter,standard,west,stormy,8.3,24.9,3,116.2,delivered
fedex,furniture,ev van,standard,central,rainy,92.7,34.16,4,565.98,delivered
xpressbees,furniture,van,two day,central,foggy,32.6,30.18,4,253.54,delivered
shadowfax,electronics,truck,two day,west,stormy,22.3,27.3,5,193.4,delivered
amazon logistics,documents,scooter,express,west,stormy,192.3,23.04,3,1080.62,delayed
fedex,fragile items,scooter,express,south,hot,200.4,40.46,2,1173.38,delayed
amazon logistics,fragile items,ev bike,two day,west,stormy,187.1,21.27,5,999.31,delivered
delhivery,automobile parts,truck,same day,east,cold,46.4,36.89,5,442.67,delivered
delhivery,electronics,scooter,standard,east,cold,54.4,25.8,4,349.4,delivered
delhivery,documents,van,same day,west,foggy,91.0,44.66,3,688.98,delivered
shadowfax,cosmetics,scooter,two day,south,stormy,123.2,6.23,4,634.69,delivered
xpressbees,groceries,van,standard,south,clear,69.7,36.18,5,457.04,delivered
blue dart,documents,scooter,two day,north,hot,267.2,6.54,4,1355.62,delivered
blue dart,documents,ev van,two day,south,stormy,9.1,46.93,4,186.29,delivered
amazon logistics,automobile parts,scooter,standard,central,cold,145.5,42.52,5,855.06,delivered
xpressbees,fragile items,van,two day,north,clear,284.8,18.37,4,1479.11,delivered
shadowfax,electronics,truck,same day,east,foggy,296.0,39.02,2,1632.7206,delayed
fedex,fragile items,bike,standard,central,stormy,98.1,4.2,5,503.1,delivered
dhl,pharmacy,scooter,two day,central,rainy,189.5,32.85,5,1046.05,delivered
delhivery,fragile items,ev van,two day,central,rainy,241.6,45.74,3,1345.22,delivered
blue dart,pharmacy,ev bike,same day,south,rainy,69.0,1.19,2,448.57,delayed
ecom express,cosmetics,scooter,two day,south,stormy,166.9,19.29,4,892.37,delivered
dhl,pharmacy,van,two day,south,hot,290.9,11.73,3,1489.69,delivered
xpressbees,cosmetics,ev van,express,east,stormy,268.2,24.25,2,1463.75,delayed
xpressbees,fragile items,scooter,standard,west,rainy,265.7,39.33,3,1446.49,delivered
ekart,furniture,scooter,two day,west,clear,182.9,18.82,4,970.96,delivered
blue dart,clothing,scooter,two day,west,clear,187.3,17.72,3,989.66,delivered
xpressbees,electronics,truck,express,east,hot,70.5,23.55,3,473.15,delivered
delhivery,groceries,truck,same day,west,clear,243.1,12.97,5,1354.41,delivered
fedex,furniture,truck,same day,south,cold,231.1,40.93,5,1378.29,delivered
amazon logistics,fragile items,van,express,north,foggy,129.8,7.06,2,720.18,delayed
xpressbees,electronics,scooter,same day,central,stormy,257.3,36.39,2,1495.67,delayed
xpressbees,fragile items,truck,same day,north,clear,74.2,8.7,5,497.1,delivered
delhivery,electronics,ev bike,two day,central,hot,254.4,25.39,5,1348.17,delivered
blue dart,furniture,ev bike,express,east,cold,187.9,42.72,5,1117.66,delivered
ekart,groceries,ev bike,standard,central,cold,14.6,24.7,5,147.1,delivered
ekart,pharmacy,bike,express,east,clear,107.2,9.49,3,614.47,delayed
blue dart,electronics,van,standard,north,cold,206.3,1.41,5,1035.73,delivered
ecom express,cosmetics,van,standard,north,rainy,217.5,28.26,5,1172.28,delivered
blue dart,clothing,ev van,same day,north,stormy,111.1,27.29,2,737.37,delayed
xpressbees,fragile items,van,two day,east,cold,69.4,45.68,5,484.04,delivered
shadowfax,pharmacy,scooter,standard,west,stormy,53.1,45.21,5,401.13,delivered
shadowfax,fragile items,scooter,express,west,hot,293.4,33.27,2,1616.81,delayed
blue dart,automobile parts,scooter,standard,central,rainy,118.5,3.39,4,602.67,delivered
ekart,fragile items,van,express,east,cold,122.0,26.45,2,739.35,delayed
shadowfax,furniture,scooter,same day,north,stormy,51.3,8.26,2,381.28,delayed
ekart,groceries,truck,two day,north,cold,113.3,5.25,5,582.25,delivered
xpressbees,pharmacy,scooter,two day,north,clear,293.7,42.84,5,1597.02,delivered
delhivery,pharmacy,truck,two day,central,foggy,150.6,8.91,5,779.73,delivered
delhivery,fragile items,truck,express,central,hot,212.4,40.28,5,1232.84,delivered
xpressbees,furniture,ev bike,two day,north,clear,282.5,11.03,4,1445.59,delivered
shadowfax,furniture,ev van,express,south,rainy,277.4,8.49,3,1462.47,delayed
delhivery,clothing,bike,standard,south,hot,264.3,23.6,5,1392.3,delivered
ecom express,clothing,bike,two day,west,cold,272.5,9.29,5,1390.37,delivered
delhivery,fragile items,van,two day,north,foggy,183.7,37.99,3,1032.47,delivered
ecom express,automobile parts,truck,standard,central,clear,260.3,48.25,4,1446.25,delivered
xpressbees,pharmacy,ev bike,standard,south,clear,238.2,28.3,3,1275.9,delivered
ecom express,groceries,scooter,two day,central,hot,297.1,12.64,4,1525.42,delivered
ecom express,electronics,van,express,west,hot,264.3,41.51,4,1496.03,delivered
ekart,electronics,truck,two day,south,stormy,161.8,15.89,3,856.67,delivered
xpressbees,cosmetics,truck,two day,north,clear,3.6,20.7,5,95.6674,delivered
blue dart,pharmacy,truck,same day,east,foggy,297.1,17.05,2,1632.7206,delayed
fedex,documents,truck,standard,north,rainy,160.7,45.51,5,940.03,delivered
ekart,clothing,bike,same day,west,stormy,283.1,5.21,2,1531.13,delayed
fedex,electronics,van,standard,south,stormy,127.2,3.24,5,645.72,delivered
amazon logistics,cosmetics,truck,same day,central,cold,195.3,16.62,5,1126.36,delivered
dhl,pharmacy,bike,same day,north,rainy,263.8,32.75,2,1517.25,delayed
delhivery,documents,ev van,express,south,stormy,47.6,2.7,2,296.1,delayed
ekart,cosmetics,truck,express,south,clear,110.1,26.55,5,680.15,delivered
amazon logistics,fragile items,ev bike,two day,west,rainy,262.7,46.89,5,1454.17,delivered
fedex,furniture,truck,express,south,hot,149.4,29.26,1,884.78,failed
shadowfax,documents,ev van,two day,west,stormy,197.9,21.59,5,1054.27,delivered
dhl,electronics,bike,two day,south,rainy,163.5,34.77,3,921.81,delivered
ekart,fragile items,ev van,two day,north,foggy,141.0,40.7,5,827.1,delivered
shadowfax,pharmacy,scooter,two day,central,cold,108.3,32.53,4,639.09,delivered
shadowfax,groceries,ev van,same day,north,rainy,288.8,21.03,2,1607.09,delayed
ecom express,electronics,bike,two day,east,clear,217.6,6.82,5,1108.46,delivered
shadowfax,fragile items,scooter,same day,west,clear,285.8,20.51,4,1590.53,delivered
ecom express,automobile parts,truck,standard,north,foggy,258.8,25.72,5,1371.16,delivered
amazon logistics,furniture,truck,standard,west,stormy,14.1,31.07,5,163.71,delivered
delhivery,documents,bike,same day,east,cold,260.0,24.0,5,1472.0,delivered
dhl,pharmacy,van,same day,west,stormy,27.6,45.0,3,373.0,delivered
dhl,fragile items,ev van,two day,north,clear,282.3,48.32,3,1556.46,delivered
delhivery,pharmacy,scooter,same day,central,rainy,156.4,23.79,1,953.37,failed
blue dart,electronics,ev van,standard,north,cold,90.9,8.21,5,479.13,delivered
xpressbees,clothing,ev bike,two day,central,clear,200.3,7.19,4,1023.07,delivered
dhl,electronics,ev van,express,south,cold,271.9,28.73,4,1495.69,delivered
blue dart,groceries,ev van,two day,north,hot,297.1,1.07,3,1489.71,delivered
ekart,furniture,scooter,standard,south,clear,67.7,9.15,4,365.95,delivered
ekart,furniture,ev van,standard,east,stormy,222.8,39.1,4,1231.3,delivered
blue dart,cosmetics,van,standard,north,stormy,65.1,4.5,3,339.0,delivered
delhivery,clothing,scooter,two day,south,clear,13.1,7.52,5,95.6674,delivered
xpressbees,automobile parts,ev van,standard,south,clear,50.5,49.49,5,400.97,delivered
amazon logistics,documents,van,same day,north,rainy,230.6,33.19,3,1352.57,delayed
fedex,furniture,ev bike,same day,east,cold,37.6,39.34,4,406.02,delivered
shadowfax,clothing,truck,two day,north,clear,218.9,28.4,5,1179.7,delivered
ecom express,groceries,scooter,same day,south,cold,286.2,29.43,4,1619.29,delivered
amazon logistics,fragile items,ev van,standard,north,stormy,220.6,23.14,4,1172.42,delivered
delhivery,electronics,ev van,standard,north,foggy,81.4,9.24,5,434.72,delivered
ecom express,furniture,truck,standard,east,rainy,263.6,47.52,5,1460.56,delivered
delhivery,pharmacy,truck,same day,central,cold,239.1,44.6,5,1429.3,delivered
delhivery,pharmacy,bike,express,south,foggy,181.4,9.47,2,985.41,delayed
dhl,groceries,ev bike,standard,west,rainy,291.7,37.12,5,1569.86,delivered
xpressbees,groceries,ev van,standard,north,cold,54.2,13.06,5,310.18,delivered
delhivery,automobile parts,ev van,standard,west,stormy,3.6,39.22,4,134.66,delivered
ekart,documents,truck,express,west,hot,79.3,37.23,5,558.19,delivered
ekart,furniture,ev van,two day,east,rainy,88.3,32.46,4,538.88,delivered
dhl,groceries,ev bike,two day,south,cold,52.3,36.96,5,372.38,delivered
ecom express,cosmetics,truck,express,east,clear,165.6,40.33,2,998.99,delayed
ekart,fragile items,ev bike,express,west,cold,32.9,27.14,4,295.92,delivered
blue dart,fragile items,bike,two day,west,foggy,186.7,5.67,4,950.51,delivered
blue dart,electronics,ev bike,two day,north,clear,38.1,26.93,4,271.29,delivered
blue dart,electronics,truck,express,south,foggy,119.2,36.75,4,756.25,delivered
blue dart,groceries,van,express,central,foggy,139.9,17.83,2,802.99,delayed
shadowfax,groceries,truck,standard,central,rainy,49.0,46.68,4,385.04,delivered
dhl,electronics,ev van,standard,central,cold,289.7,24.07,4,1520.71,delivered
fedex,automobile parts,truck,two day,west,stormy,30.0,14.86,4,194.58,delivered
amazon logistics,automobile parts,van,standard,north,clear,60.5,45.66,4,439.48,delivered
shadowfax,groceries,van,standard,south,cold,115.9,24.26,5,652.28,delivered
blue dart,cosmetics,truck,express,south,foggy,245.4,3.38,2,1287.14,delayed
dhl,pharmacy,truck,express,south,hot,164.0,14.75,2,914.25,delayed
ekart,pharmacy,scooter,standard,east,clear,107.7,9.49,4,566.97,delivered
amazon logistics,fragile items,truck,same day,north,foggy,142.8,44.05,4,946.15,delivered
ekart,electronics,scooter,same day,west,hot,256.1,15.3,5,1426.4,delivered
blue dart,documents,ev van,same day,east,foggy,132.6,23.94,3,834.82,delivered
xpressbees,groceries,truck,two day,north,clear,70.9,20.05,5,414.65,delivered
dhl,automobile parts,ev van,two day,central,cold,63.2,23.39,5,386.17,delivered
delhivery,pharmacy,van,express,south,stormy,252.7,25.7,2,1390.6,failed
xpressbees,groceries,van,two day,east,stormy,75.7,18.18,3,433.04,delivered
blue dart,electronics,scooter,same day,east,rainy,160.7,8.84,4,930.02,delivered
amazon logistics,pharmacy,truck,standard,south,foggy,209.6,38.02,5,1162.06,delivered
amazon logistics,documents,truck,express,south,cold,46.9,19.87,4,344.11,delivered
dhl,documents,truck,standard,east,rainy,6.9,40.42,5,155.76,delivered
shadowfax,automobile parts,ev van,two day,north,rainy,296.8,22.56,4,1551.68,delivered
shadowfax,furniture,truck,same day,west,cold,244.4,49.52,1,1471.49,failed
shadowfax,clothing,ev bike,two day,west,foggy,284.0,49.0,5,1567.0,delivered
delhivery,electronics,bike,standard,east,foggy,170.4,45.85,5,989.55,delivered
ekart,groceries,van,same day,central,clear,68.1,26.6,5,520.3,delivered
blue dart,electronics,ev bike,same day,east,rainy,157.1,6.61,2,905.33,delayed
xpressbees,groceries,van,same day,south,cold,228.9,27.2,2,1326.1,delayed
delhivery,groceries,ev bike,express,west,cold,179.8,20.22,2,1009.66,delayed
fedex,fragile items,truck,standard,west,cold,142.9,3.67,3,725.51,delivered
xpressbees,groceries,van,two day,west,hot,168.0,24.34,4,913.02,delivered
ecom express,documents,truck,express,east,hot,67.7,37.28,3,500.34,delayed
ekart,pharmacy,ev van,two day,west,cold,117.1,32.38,4,682.64,delivered
delhivery,pharmacy,ev bike,express,central,clear,136.6,40.25,1,853.75,failed
xpressbees,electronics,ev van,express,west,rainy,228.4,46.49,2,1331.47,delayed
delhivery,electronics,bike,express,west,clear,160.5,38.37,2,967.61,delayed
delhivery,clothing,ev bike,standard,west,cold,135.2,30.03,5,766.09,delivered
ecom express,cosmetics,ev van,same day,central,stormy,285.9,32.4,2,1626.7,delayed
amazon logistics,clothing,ev van,two day,central,cold,63.8,29.7,4,408.1,delivered
xpressbees,automobile parts,truck,express,south,stormy,243.1,12.23,1,1302.19,failed
amazon logistics,groceries,van,standard,west,stormy,3.6,6.97,5,95.6674,delivered
delhivery,automobile parts,truck,standard,west,hot,118.2,31.31,4,684.93,delivered
delhivery,documents,ev van,standard,east,cold,58.8,49.52,5,442.89,delivered
ekart,groceries,ev van,express,east,cold,144.7,13.82,3,814.96,delayed
delhivery,clothing,ev van,express,central,foggy,148.3,40.66,2,913.48,delayed
amazon logistics,fragile items,ev van,same day,central,stormy,117.7,24.36,3,761.58,delayed
delhivery,pharmacy,truck,express,central,stormy,17.3,30.38,3,227.64,delayed
fedex,electronics,scooter,express,south,rainy,70.1,24.16,2,472.98,delayed
amazon logistics,cosmetics,bike,standard,south,stormy,79.1,15.54,5,442.12,delivered
xpressbees,fragile items,ev van,same day,north,foggy,139.9,45.59,4,936.27,delivered
ekart,cosmetics,bike,express,central,hot,127.6,17.01,4,739.03,delivered
fedex,fragile items,bike,same day,west,cold,61.3,6.4,4,425.7,delivered
fedex,documents,van,standard,central,hot,182.9,17.63,5,967.39,delivered
xpressbees,groceries,ev bike,same day,west,rainy,141.4,32.97,3,905.91,delivered
dhl,fragile items,ev bike,two day,south,cold,67.1,24.38,3,408.64,delivered
ekart,pharmacy,scooter,same day,south,rainy,24.1,12.31,5,257.43,delivered
amazon logistics,pharmacy,truck,express,south,foggy,37.7,48.03,2,382.59,failed
amazon logistics,cosmetics,ev van,same day,west,stormy,22.0,28.89,4,296.67,delivered
fedex,pharmacy,ev bike,two day,east,stormy,13.8,47.17,3,210.51,delivered
delhivery,clothing,ev van,same day,central,hot,29.9,32.75,5,347.75,delivered
fedex,clothing,ev bike,same day,west,foggy,102.6,2.23,3,619.69,delivered
ecom express,fragile items,bike,two day,south,stormy,160.0,35.82,4,907.46,delivered
ecom express,documents,scooter,express,central,hot,142.2,20.76,3,823.28,delayed
dhl,pharmacy,scooter,standard,east,stormy,270.5,29.7,4,1441.6,delivered
blue dart,furniture,bike,two day,south,hot,271.6,31.02,4,1451.06,delivered
shadowfax,pharmacy,ev van,express,south,cold,55.9,44.06,5,461.68,delivered
amazon logistics,documents,ev bike,express,west,cold,260.3,1.73,4,1356.69,delivered
ecom express,documents,ev van,same day,north,stormy,169.6,29.8,3,1037.4,delayed
delhivery,cosmetics,scooter,standard,west,cold,221.7,3.46,5,1118.88,delivered
ekart,clothing,ev van,express,north,foggy,237.5,8.16,3,1261.98,delayed
fedex,documents,ev van,same day,west,stormy,121.3,22.82,2,774.96,delayed
delhivery,automobile parts,bike,same day,west,clear,128.0,38.49,5,855.47,delivered
amazon logistics,clothing,ev van,standard,east,clear,226.7,6.7,4,1153.6,delivered
blue dart,pharmacy,bike,two day,north,foggy,247.1,1.6,4,1240.3,delivered
shadowfax,clothing,van,express,east,stormy,132.3,23.61,2,782.33,delayed
ecom express,cosmetics,scooter,two day,central,foggy,74.8,6.48,4,393.44,delivered
xpressbees,clothing,truck,two day,south,stormy,201.2,24.68,5,1080.04,delivered
xpressbees,pharmacy,bike,same day,central,rainy,234.1,3.67,2,1281.51,delayed
ekart,groceries,ev van,two day,north,clear,229.7,42.49,4,1275.97,delivered
amazon logistics,cosmetics,van,standard,central,hot,117.8,11.25,5,622.75,delivered
